texto,nota,data,app
Top,5,2026-04-06 21:26:13,Duolingo
gosto muito,5,2026-04-06 21:25:48,Duolingo
é legal mas tem que pagar,1,2026-04-06 21:25:25,Duolingo
"o Duolingo e um aplicativo que ajuda muito nos estudos , pra vcs terem uma ideia esse e o único aplicativo que eu já avaliei ..... , enfim muito bom o aplicativo recomendo muito muito obrigada Duolingo🌸💝💕 e feliz páscoa",5,2026-04-06 21:22:56,Duolingo
quero aprender mais,5,2026-04-06 21:22:01,Duolingo
"o app é criativo,com todas as variações de línguas possíveis e as animações são básicas sim,mais é o básico que torna o app divertido e tão incansável.A e lembrando que você pode firmar XP e evoluir até cansar.",5,2026-04-06 21:21:38,Duolingo
ele é muito legal recomendo muito ele ajuda super com qualquer idioma que você quiser eu gostei muito eles ajudam as palavras desde o começo eu amei eles ensinam até palavras básicas eles estão a oportunidade para fazer os exercícios falando eu recomendo muito,5,2026-04-06 21:19:13,Duolingo
very cool,5,2026-04-06 21:17:37,Duolingo
muito bom aprendir completamente a falar inglês,5,2026-04-06 21:15:00,Duolingo
"um aplicativo muito bom,divertido,e perfeito para quem quer aprender outra língua sem gastar mil conto",5,2026-04-06 21:09:44,Duolingo
Amando aprender com DUOLINGO!!!,5,2026-04-06 21:09:20,Duolingo
"𝑶 𝒅𝒖𝒐𝒍𝒊𝒏𝒈𝒐 𝒆́ 𝒐𝒕𝒊𝒎𝒐!! 𝒆𝒔𝒕𝒐𝒖 𝒂𝒑𝒓𝒆𝒏𝒅𝒆𝒏𝒅𝒐 𝒄𝒐𝒓𝒆𝒂𝒏𝒐 𝒆𝒔𝒕𝒐𝒖 𝒂𝒑𝒓𝒆𝒏𝒅𝒆𝒏𝒅𝒐 𝒂𝒊𝒏𝒅𝒂 𝒑𝒂𝒍𝒂𝒗𝒓𝒂𝒔 𝒔𝒊𝒎𝒑𝒍𝒆𝒔, 𝒎𝒂𝒔 𝒄𝒐𝒎 𝒕𝒐𝒅𝒐 𝒐 𝒆𝒔𝒇𝒐𝒓𝒄𝒐. 𝑨𝒅𝒐𝒓𝒐 𝒆 𝒓𝒆𝒄𝒐𝒎𝒆𝒏𝒅𝒐 5 𝒆𝒔𝒕𝒓𝒆𝒍𝒂𝒔!!",5,2026-04-06 21:09:00,Duolingo
Muito prático e de fácil acesso!!,5,2026-04-06 21:07:09,Duolingo
tenho que parar toda hora pois a bateria acaba e não tenho condições de pagar pra ter bateria infinita.,3,2026-04-06 21:06:58,Duolingo
muito bom,5,2026-04-06 21:06:32,Duolingo
"volta para o outro modelo de vidas, quantoais eu acerto, mais eu ganho vidas, mais eu aprendo diminu um pouco a repetição de palavras. corrigir os erros de ser estar para italiano e inglês / português BR. ""a loja não está ali"" ""a loja é ali"". na correção dos exercícios aparece com a tradução diferente do que usamos em português.",3,2026-04-06 21:05:59,Duolingo
bom,4,2026-04-06 21:04:44,Duolingo
é muito bom e importante para 😁 aprender!,5,2026-04-06 21:01:46,Duolingo
muito bom mesmo 😊✨👏🏽,5,2026-04-06 21:00:28,Duolingo
porque sim,5,2026-04-06 20:58:16,Duolingo
muito bom,5,2026-04-06 20:58:11,Duolingo
Very good!,5,2026-04-06 20:57:57,Duolingo
gostei do jeito de aprendizagem,5,2026-04-06 20:55:26,Duolingo
se eu não fizer as atividades o duo me pega😭😔,5,2026-04-06 20:54:00,Duolingo
"e um app super bom que ensina inglês, matématica e outras matérias, espanhol, japonês, coreano e muito mais! te sigo a muito tempo, duo!",5,2026-04-06 20:52:47,Duolingo
muito bom na escola ninguém fala e eu falo e o povo nem entende kkkkkkkk pra mim é legal,5,2026-04-06 20:52:15,Duolingo
meu inglês está maravilhoso e não é só inglês tem de muitas muitas muitas muitas muitas muitas muitas muitas muitas muitas muitas muitas muitas línguas até matemática xadrez etc (perfeito) :),5,2026-04-06 20:49:49,Duolingo
"facilitador, me surpreendeu",5,2026-04-06 20:48:22,Duolingo
vai ajudar muito pra minhas aulas na escola 🏫 🎒. que Deus abençoe o criador do duolingo e pra quem todo mundo está lendo essa avaliação,5,2026-04-06 20:47:21,Duolingo
bom de maiiis!!!!!,5,2026-04-06 20:46:07,Duolingo
ele e muito legal gostei muito aprendi várias línguas como inglês,4,2026-04-06 20:42:14,Duolingo
"muito bom, aprendo muito com o app",5,2026-04-06 20:41:18,Duolingo
"um ótimo aplicativo, ate minhas notas na escola melhoraram.",5,2026-04-06 20:38:19,Duolingo
muito bom,5,2026-04-06 20:38:14,Duolingo
adoro a duolingo sei des de 6a8,5,2026-04-06 20:36:54,Duolingo
"Seria muito legal se tivesse português para brasileiros, com exercícios de morfologia, sintaxe, dicionário de plurais... Além disso, seria legal a gente poder acessar as outras divisões também. Nem que fosse somente para ver os nomes delas, ou para ver quais amigos estão disputando nelas, ou para ver qual foi a data que estivemos nelas.",5,2026-04-06 20:36:39,Duolingo
amei ele ensina muito e ele e fofinho ameiiiiiigostei muito sério me . . . . . . .. . . . . .,5,2026-04-06 20:36:11,Duolingo
é muito bom para as crianças e para viajajar,4,2026-04-06 20:34:03,Duolingo
eu amo o Duolingo quando eu tô sem nada para fazer eu faço ele faço tudo direitinho todo dia e o vamos combinar que temque fazer o Duolingo todo dia em kkk...,5,2026-04-06 20:33:57,Duolingo
muito bom,5,2026-04-06 20:32:33,Duolingo
muito bom estou aprendendo muito com o duo,5,2026-04-06 20:32:20,Duolingo
Estou amando o Duolingo,5,2026-04-06 20:29:28,Duolingo
adoro fazer a lição de coreano,5,2026-04-06 20:29:23,Duolingo
amoo,4,2026-04-06 20:28:47,Duolingo
estou melhorando bastante o meu inglês,5,2026-04-06 20:28:15,Duolingo
É um aplicativo muito bom amei e me ajudou a compreender e saber falar novas línguas 😄😄,5,2026-04-06 20:28:12,Duolingo
muito bommmm,5,2026-04-06 20:28:04,Duolingo
Duolingo é muito bom melhor coisa do mundo,4,2026-04-06 20:27:58,Duolingo
bom,5,2026-04-06 20:27:50,Duolingo
to muito bom no espanhol,5,2026-04-06 20:27:33,Duolingo
como tou aprendendo japonês isso ajuda com a fala e etc,5,2026-04-06 20:26:22,Duolingo
muito bom aprendi a falar em engles em duas semanas!,5,2026-04-06 20:26:20,Duolingo
muito bom 👍🏻 👍🏻 👍🏻 👍🏻 o melhor,1,2026-04-06 20:25:37,Duolingo
konitiua! é legal,5,2026-04-06 20:24:22,Duolingo
"come todas as gemas e não valida as vidas, trava horrores, esquenta o aparelho simplesmente um lixo pra quem não paga o Premium deles",1,2026-04-06 20:22:41,Duolingo
muito bom ótimo para aprender tudo ele é muito legal ainda mais de xadrez eu acabei de ganhar aí é muito legal eu amo o Duolingo eu vou falar para todas as pessoas baixarem que é muito legal para aprender as coisas 😁😁😁,5,2026-04-06 20:22:29,Duolingo
good,5,2026-04-06 20:20:34,Duolingo
muito ótimo 👏👏,4,2026-04-06 20:19:50,Duolingo
Bom para o aprendizado 🤠,5,2026-04-06 20:18:40,Duolingo
muito bom e da um grande sucesso ao que vc quer aprender alguma fala de algum país que vc quiser muito bom eu adorei o duolingo um dos melhores app que eu já vi para ensinar alguma coisa igual as falas de todos os pais e só vc seleciona o país que vc quer aprender e ele vai te ensinar vc vai e ainda tem o super duolingo muito bom recomendo e ainda e de graça,5,2026-04-06 20:18:33,Duolingo
muito bom para aprendizagem,5,2026-04-06 20:18:09,Duolingo
excellent!,5,2026-04-06 20:17:13,Duolingo
muito bom parabéns Duolingo 😆,5,2026-04-06 20:13:58,Duolingo
It's easy to learn É fácil de aprender.,5,2026-04-06 20:12:47,Duolingo
"Esse sistema de enérgia ta horrível, voltem com as vidas.",3,2026-04-06 20:09:53,Duolingo
"amei, e um jeito divertido de aprender línguas novas 😜",5,2026-04-06 20:09:19,Duolingo
só n gostei da parte q mudou as vidas por tempo (bateria) mas e um ótimo aplicativo para estudo eu mesmo faço japonês,4,2026-04-06 20:08:47,Duolingo
"aprendendo francês,bom ensino!",5,2026-04-06 20:07:17,Duolingo
Eu amo Duolingo ele é ótimo é um aplicativo de outro mundo,5,2026-04-06 20:06:31,Duolingo
"Gosto imensamente do Duolingo. Tem me ajudado muito e, por isso, convidei meu irmão, minha neta, uma prima, uma coleguinha da minha neta, todos entusiasmadíssimos! Nesse momento o meu está fora do ar e estou chateada, pq amanhã vão falar que não pratiquei!!! Não tenho a quem recorrer. O que faço?",5,2026-04-06 20:05:56,Duolingo
Está cada vez mais difícil continuar usando o app com essa atualização através de energia.,1,2026-04-06 20:05:45,Duolingo
estou testando grátis mais estou Amando 😍,4,2026-04-06 20:05:42,Duolingo
"baixei a 2 dias, e estou simplesmente amando! espero q realmente consiga aprender inglês! agradeço aos criadores deste app incrível!",5,2026-04-06 20:03:34,Duolingo
Amei só falta ir pro EUAS,5,2026-04-06 20:03:28,Duolingo
muito bom da para começar do zero,5,2026-04-06 20:03:22,Duolingo
eu amei muito não sei como não instalei antes mas agora todos o tempo que eu não conseguia fazer nada no meu tempo livre estou conseguindo fazer agora em todos os momentos uso Duolingo só acho que deveria ter mais de 50 energia para mim jogar cada vez mais kkk mas tudo bem pelo menos ele me distraiu bastante e eu amei sinceramente uso ele todos os dias e não desisto de tirar ele do meu celular,5,2026-04-06 20:03:21,Duolingo
muito bom mesmo,5,2026-04-06 20:03:02,Duolingo
muito bem para aprender em matérias que temos dificuldade e o Duolingo é a solução perfeita ✨️✨️✨️✨️,5,2026-04-06 20:01:59,Duolingo
"eu amo, faço há mais de 5 anos e já aprendi muitas coisas",5,2026-04-06 20:00:18,Duolingo
muito bom,5,2026-04-06 19:58:24,Duolingo
O MELHOR A PLIKA DIVO EU SOU UMA CRIANÇAS E AMEI,5,2026-04-06 19:57:13,Duolingo
"muito bom o aplicativo, dá pra aprender muito de graça,mas acho que podiam adicionar um curso de desenhos",4,2026-04-06 19:56:54,Duolingo
aprendi a falar francês bonjur,5,2026-04-06 19:55:40,Duolingo
pra quem quer aprender e um ótimo começo 🙂,5,2026-04-06 19:54:57,Duolingo
e muito legal,5,2026-04-06 19:50:09,Duolingo
muito legal já estou a prendendo olha I ghost day cool,5,2026-04-06 19:47:07,Duolingo
otimooo,5,2026-04-06 19:46:09,Duolingo
INCRIVEL,5,2026-04-06 19:43:05,Duolingo
ótimo estou aprendendo muito,5,2026-04-06 19:38:42,Duolingo
"é um app bom, porém só ele NÃO vai te deixar fluente, porém até que ajuda bastante .",4,2026-04-06 19:37:19,Duolingo
Duolingo is really great! that little rascal,5,2026-04-06 19:36:16,Duolingo
muito bom Aprendi rápido👍👍👍,5,2026-04-06 19:34:21,Duolingo
"consegui ir para a unidade e seção 5 (2026) ah e 500 e mais dias de ofensiva com hoje inglês isso é maneiro eu dou 5 estrelas pq esse aplicativo é muito legal e tô Aprendendo Chinês em Português e sou 1 criança, fiz 8 anos dia 26/09/2025 mas aqui como é ofensiva foi no dia 323",5,2026-04-06 19:32:54,Duolingo
super,5,2026-04-06 19:32:19,Duolingo
eu amo o duo tô adorando aprender espanhol,5,2026-04-06 19:27:01,Duolingo
"muito bom pra quem quer evoluir o vocabulário, muito necessário",5,2026-04-06 19:24:45,Duolingo
"estou aprendendo muita coisa e muito fácil, obrigado",5,2026-04-06 19:22:34,Duolingo
"Maravilhoso o aplicativo,uso ele desde de 2023,recomendo muito estou utilizando o Duolingo para otimizar o meu tempo com estudos para evoluir minha carreira no aprendizado! amei amei amei!!! recomendo muuuiiiiitoooooooo!!!!❤️🥰🥰🥰❤️❤️",5,2026-04-06 19:20:41,Duolingo
"app otimo, so acho que deveriam deixar quem so sabe português aprender Russo pq so tem pra quem fala inglês",5,2026-04-06 19:19:03,Duolingo
"podia ter adesivo,desenho e aulas base como:educação física,geografia,robótica ,matemática,ciências humanas,ciências da natureza e história",3,2026-04-06 19:18:06,Duolingo
muito bom msm,5,2026-04-06 19:12:37,Duolingo
"Poh! tá travando igual a gatonete, consertem isso esta bugando demais!😡",3,2026-04-06 19:08:21,Duolingo
é bom 👍,5,2026-04-06 19:08:06,Duolingo
"Muito bom o app, sinto muito Duo 🥹💚",5,2026-04-06 19:08:04,Duolingo
cria um pouco de confusão. Pois as frases estão em português do Brasil. E são um pouco diferentes do português de Portugal.,2,2026-04-06 19:06:45,Duolingo
muito brabo,5,2026-04-06 18:59:19,Duolingo
"Tenho instalado a muito tempo e sempre amei o app. as dinâmicas de aulas, as falas, até mesmo os rankings e poder ter amigos dentro da plataforma é algo que deixa tudo mais leve. talvez não seja possível ficar fluente em uma língua apenas com o app, mas tenho certeza que o básico para uma viagem ou um reforço para quem está fazendo um curso de verdade ele da conta. gosto muito e recomendo para quem quer aprender inglês mas está com preguiça heheh :3",4,2026-04-06 18:57:40,Duolingo
simples e fácil de aprender,5,2026-04-06 18:56:41,Duolingo
EU ODEIO BATERIAS TRAGAM DE VOLTA AS VIDAS PORFAVORRRRRRR!!!!!,5,2026-04-06 18:54:45,Duolingo
é bom,5,2026-04-06 18:54:42,Duolingo
"As vezes não me deixam prosseguir na lição, isso é ser malvado Eas vezes a voz para repetirmos não é tão clara e isso dificulta muito",5,2026-04-06 18:54:24,Duolingo
"Eu Amei, Ótimo Para Quem Quer Aprender Novos Idiomas!!",5,2026-04-06 18:53:05,Duolingo
maravilhoso muito bom ja sei varias coisas,5,2026-04-06 18:51:43,Duolingo
ótimo!,5,2026-04-06 18:49:36,Duolingo
estou adorando,5,2026-04-06 18:49:33,Duolingo
amei o Duolingo!🫶🏻 recomendo muito instalar👍🏻!,5,2026-04-06 18:46:55,Duolingo
muito legal gostei,4,2026-04-06 18:46:46,Duolingo
Duolingo muito obrigado cara vc me ajuda muito me desculpe pelas vezes que eu fasso muito tarde vc me parabenizou tanto que vc deu o super Duolingo como parabéns cara eu irei valorizar muito mais vc cara vou parar de fazer piadinha nos áudios de manhã a manhã as tarefas n vão passar de 11 horas mas muito obrigado cara vc está me ajudando muito eu e vc estamos só no começo da jornada meu sonho e ir pro Estados Unidos e sim que nos dois juntos vamos realizar esse sonho muito obrigado cara,5,2026-04-06 18:46:04,Duolingo
muito bom,5,2026-04-06 18:45:22,Duolingo
bom,5,2026-04-06 18:43:44,Duolingo
muinto bom :D,5,2026-04-06 18:42:21,Duolingo
"era muito bom, mas desde que mudaram os corações pra energia, ficou horrivel pra mim, que sou mais de estudar MUITO quando da vontade do que de estudar um pouco todo dia, aprendo bem melhor quando da vontade do que ""pra nao perder o foguinho"". e isso é horrivel porque acaba muito rápido e nem da pra recuperar estudando como antes. to parando de usar o app por esse motivo",2,2026-04-06 18:41:31,Duolingo
muito eficiente ao dia a dia,5,2026-04-06 18:41:22,Duolingo
muito bom pra quem viaja fora,5,2026-04-06 18:41:10,Duolingo
é divertido,4,2026-04-06 18:41:10,Duolingo
"very good,",5,2026-04-06 18:39:45,Duolingo
ajuda - me muito e as outras pessoas. aprende-se muito bem . obrigado Duolingo ❤️❤️❤️❤️❤️,5,2026-04-06 18:38:28,Duolingo
e muito legal conpensa muito gente,5,2026-04-06 18:38:08,Duolingo
E maravilhoso,5,2026-04-06 18:37:30,Duolingo
ótimo,5,2026-04-06 18:37:29,Duolingo
muito bo. quando eles sequestra minha mãe,5,2026-04-06 18:36:49,Duolingo
muito divertido,5,2026-04-06 18:36:27,Duolingo
muito bom mesmo estou aprendendo várias coisas 🥳🥳,4,2026-04-06 18:34:18,Duolingo
é muito bom parabéns pelo aplicativo,5,2026-04-06 18:30:20,Duolingo
É legal para aprender 👍👏,5,2026-04-06 18:29:19,Duolingo
ありがとうございます,5,2026-04-06 18:27:04,Duolingo
eu acho que deveria da mais diamante e deveria ter mais ajuda,4,2026-04-06 18:26:58,Duolingo
muito bom mesmo recomendo muito,5,2026-04-06 18:23:35,Duolingo
muito obrigado estou aprendendo a jogar xadrez graças ao Oscar,5,2026-04-06 18:20:15,Duolingo
"Uso esse aplicativo a 4 anos, parei e voltei a usar esse ano, e me decepcionei com esse negócio de energia, volte com os corações é mais legal e dá mais vontade de usar o aplicativo 👎",3,2026-04-06 18:17:29,Duolingo
O doulingo me da medo quando esqueço da tarefa mais essa app e muito bom😃👍,5,2026-04-06 18:17:17,Duolingo
muito bommmmm é um jogo onde se aprende inglês espanhol e muito mais o que mais poderia ter de bom nisso maravilhoso 😍😍😍,5,2026-04-06 18:17:12,Duolingo
vcs são incriveis obrigada duolingo❤,5,2026-04-06 18:16:04,Duolingo
recomento,5,2026-04-06 18:14:27,Duolingo
estou aprendendo muito,5,2026-04-06 18:13:18,Duolingo
gosto muito.,5,2026-04-06 18:11:51,Duolingo
"Excelente para aprender distraindo. Prático, interativo e motivador.",5,2026-04-06 18:08:53,Duolingo
muito bom 👍 amei,5,2026-04-06 18:08:02,Duolingo
ótimo,5,2026-04-06 18:07:05,Duolingo
Eu amo você doulingo,4,2026-04-06 18:05:14,Duolingo
Amei o Duolingo ele ajuda muito no idioma ou outras coisas que vc quer,5,2026-04-06 18:02:52,Duolingo
ensina bastante,5,2026-04-06 17:58:20,Duolingo
ótimo. 😊,4,2026-04-06 17:55:20,Duolingo
o Duolingo é muito bom eu estou aprendendo super fácil japonês,5,2026-04-06 17:54:14,Duolingo
bien,5,2026-04-06 17:52:13,Duolingo
"muito bom o aplicativo, só poderia praticar por mais tempo",4,2026-04-06 17:50:49,Duolingo
Bom para aprender várias coisas,5,2026-04-06 17:50:27,Duolingo
eu não consigo aprender hebraico e a energia não ajuda,3,2026-04-06 17:50:23,Duolingo
muitobom,5,2026-04-06 17:50:23,Duolingo
aprendo munto rápido 😍,5,2026-04-06 17:49:55,Duolingo
"É muito insistente e muito bom, maravilhoso.",5,2026-04-06 17:47:30,Duolingo
muito bom 👍 legalmente aprendi muito com duplicou minha inteligência parabéns é sensacional,5,2026-04-06 17:44:00,Duolingo
muito legal euito chato,4,2026-04-06 17:43:18,Duolingo
muito bom tô aprendendo demais,5,2026-04-06 17:41:44,Duolingo
im inglês pls,5,2026-04-06 17:39:48,Duolingo
vc e muito legal vc me ajuda muito obrigado bye,5,2026-04-06 17:36:20,Duolingo
muito bom tirei dez wm ingles,5,2026-04-06 17:35:16,Duolingo
ótimo pra conhecer novas palavras,5,2026-04-06 17:31:36,Duolingo
Esse aqui esse aplicativo é muito bom pra você que você que não é bem-lingue,5,2026-04-06 17:30:29,Duolingo
ótimo,5,2026-04-06 17:30:08,Duolingo
recomendo,5,2026-04-06 17:29:47,Duolingo
muito pra e fácil mas não tenho dinheiro e essa bola fica toda hora mandando eu fazer no super,5,2026-04-06 17:29:06,Duolingo
"amei, muito útil",3,2026-04-06 17:29:03,Duolingo
muito bom pra quem é iniciante.,3,2026-04-06 17:27:27,Duolingo
Wonderful,5,2026-04-06 17:25:00,Duolingo
"duolimgu bom, mas é ruin mas é bon mas énruim paren ese apepe!",1,2026-04-06 17:24:44,Duolingo
"é muito bom para aprender um idioma novo até mesmo você pode usar para aprender na hora da prova de inglês ou de vários outros idiomas, Duolingo você tá de parabéns 🎀🎀",5,2026-04-06 17:23:27,Duolingo
muito bom ;-;?,5,2026-04-06 17:23:17,Duolingo
"incroyable, j'ai appris beaucoup de langue avec Duolingo❤️",5,2026-04-06 17:23:04,Duolingo
"A missão do triplo era completar uma , unidade completei , daí travou , daí fiquei sem ...",1,2026-04-06 17:22:18,Duolingo
ótimo,5,2026-04-06 17:18:01,Duolingo
o duolingo te ajuda muito eu não sabia nada de inglês e graças a o duolingo eu aprendi a falar inglês tipo chá inglês é tea você precisa dele o que tá esperando baixe o duolingo não fica aqui lendo isso vai rápido abaixo e também n se esqueça q n tem motivo pra fica com raiva,5,2026-04-06 17:17:45,Duolingo
"sem ele eu não estaria tão bom em música, o melhor é o duo. o maior formador de aura...",5,2026-04-06 17:11:22,Duolingo
"é ótimo ,legal e criativo",5,2026-04-06 17:11:08,Duolingo
Muito fácil,3,2026-04-06 17:09:51,Duolingo
"Muito bom, eu adoro, com ele vou poder fazer o meu tão sonhado intercâmbio, sem problemas de entender a língua",5,2026-04-06 17:07:52,Duolingo
é ótimo.,5,2026-04-06 17:06:55,Duolingo
"super recomendo, porque aplicativo é muito bom e realmente ensina a falar qualquer língua que você quer aprender a falar 😃",5,2026-04-06 17:06:11,Duolingo
muito bom é muito rápido para aprender!!!só que tem q entrar no duolingo todo dia.,4,2026-04-06 17:04:13,Duolingo
muito bom e educativo❤️❤️,5,2026-04-06 16:55:10,Duolingo
ótimo para aprender.,5,2026-04-06 16:52:03,Duolingo
...batata doce é bom,4,2026-04-06 16:51:42,Duolingo
tá me ajudando muito,5,2026-04-06 16:46:30,Duolingo
"muito bom, aprendendo muito",5,2026-04-06 16:46:18,Duolingo
"Esse aplicativo é muito bom, porém, ele nunca me deixa em paz por que se eu me atrasar um minutinho no Duolingo que ele fica mandando notificação. Eu sei que é só desativar as notificações, mas eu não gosto de fazer isso, porque se não eu vou me atrasar, e ele vai fazer uma cara doida pra mim na foto do aplicativo. Mas fora isso, não tem o que reclamar. Esse aplicativo de inglês é muito bom.😊",4,2026-04-06 16:45:00,Duolingo
show de bola,5,2026-04-06 16:44:53,Duolingo
trip de mais só um pouco exigente,5,2026-04-06 16:43:52,Duolingo
amei minhas notas subirão muito Nas Aulas de ingues quem criou O Duolingo esta de parabens obrigado por criar um app assim sem anuncios sem ter q pagar É vc aprende a lingua q quiser n É só O ingues foi isso tchau,5,2026-04-06 16:42:01,Duolingo
e muito bom e fácil de aprender uma nova língua,4,2026-04-06 16:39:51,Duolingo
muito útil✨,5,2026-04-06 16:38:35,Duolingo
o Du ele emcina muita coisa,5,2026-04-06 16:31:27,Duolingo
daora,5,2026-04-06 16:29:53,Duolingo
"Ultimamente tem tido muito erro, palavras com tradução errada, não reconhece a voz em alguns casos, respostas que poderia ser aceita mas o Duolingo não reconhece. Tem deixado muito a desejar ultimamente.",2,2026-04-06 16:20:25,Duolingo
"sim, bem legal ! fácil e prático de aprender",5,2026-04-06 16:18:38,Duolingo
MUITO. LEGAL,5,2026-04-06 16:15:34,Duolingo
eu estou Amanda tá bom,5,2026-04-06 16:14:40,Duolingo
aplicativo educativo e muito divertido estou amando estudar pelo Duolingo. e o melhor você pode colocar o tempo de acordo com sua rotina.,5,2026-04-06 16:12:36,Duolingo
app sensacional!,5,2026-04-06 16:09:44,Duolingo
muito bom é n é enjoativo,5,2026-04-06 16:08:20,Duolingo
