texto,nota,data,app,sentimento,tamanho,palavras,ano_mes
Um autêntico lixo não recomendo apenas uso porque a escola obriga um autêntico LIXOOOOOOOOOOOOOOOOO!!! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬🤬🤬☠️🤬☠️🤬☠️🤬☠️🤬☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿☠️👿🤬👿☠️👿🤬👿🤬👿🤬👿🤬👿🤬👿🤬👿☠️🤬👿☠️👿🤬👿☠️👿🤬👿☠️👿🤬☠️👿🤬👿🤬👿🤬👿👿,1,2023-05-10 07:22:49,Google Classroom,Negativo,216,15,2023-05
"Aplicativo horrível, precisa pagar para mostrar como fazer a conta",1,2024-09-05 09:32:13,Photomath,Negativo,66,10,2024-09
O aplicativo é bom mas com essa nova atualização agora não estou conseguindo acessar esse app,2,2023-04-18 09:20:41,Google Classroom,Negativo,93,16,2023-04
Esse app é pago. Versão gratuita quase que inexistente !,1,2024-11-05 16:41:02,Quizlet,Negativo,56,10,2024-11
"cara eu baixei isso faz um tempao e só consigo entrar pelo site ou cmsp, baixei o app pra ficar melhor e minha conta n entra de jeito nenhum. pessimo",1,2024-09-16 19:40:25,Khan Academy,Negativo,149,30,2024-09
~ Ruim poderia sebom,1,2025-05-05 17:11:02,Quizlet,Negativo,20,4,2025-05
Eu odeio lição,1,2023-02-10 13:57:05,Google Classroom,Negativo,14,3,2023-02
o jogo da cobrinha tem uma taxa de bugs menor que esse aplicativo.,1,2025-07-16 19:21:17,Google Classroom,Negativo,66,13,2025-07
"Era um ótimo app, mas agora é pago e para o que oferece o valor é extremamente elevado não vale o custo benefício. Desinstalado.",1,2024-05-13 17:31:51,Photomath,Negativo,128,24,2024-05
"Embora o Khan Academy tenha se estabelecido como uma plataforma educacional, há vários aspectos negativos. Em primeiro lugar, a abordagem de ensino da plataforma pode ser muito genérica e não atender às necessidades específicas de todos os alunos. O material é apresentado de forma padronizada, o que pode não levar em consideração diferentes estilos de aprendizado e níveis de compreensão.",1,2024-09-04 16:55:05,Khan Academy,Negativo,390,60,2024-09
"Procurei por app de inglês gratuito, apareceu este como opção. Mas não consigo avançar sem colocar o número do meu cartão de crédito. Propaganda enganosa",1,2024-04-22 13:34:15,Babbel,Negativo,153,25,2024-04
Vcs colocam um preço na página inicial e quando entro no curso pra comprar tá muito mais caro. Tenho os prints pra provar. Isso é propaganda enganosa. É crime. É enganação. É golpe. Vcs são obrigados por lei a arcar com o preço anunciado. E pra piorar não existe nenhum meio de entrar em contato a empresa pra prestar uma queixa.,1,2023-09-15 00:23:39,Udemy,Negativo,329,61,2023-09
É pago.,1,2025-04-12 10:04:55,Quizlet,Negativo,7,2,2025-04
péssimo não consigo acessar os cartões!,2,2025-08-20 06:30:55,Quizlet,Negativo,39,6,2025-08
Essa P. Fica pedindo login sempre. É uma B*&_$#,2,2023-04-15 05:07:00,Udemy,Negativo,47,9,2023-04
A lapes não rerulve,1,2024-04-10 18:43:40,Photomath,Negativo,19,4,2024-04
Este Plicativo tem muitos erro,2,2024-05-12 09:06:19,Photomath,Negativo,30,5,2024-05
modo escuro.,1,2020-04-06 09:27:26,Khan Academy,Negativo,12,2,2020-04
muito trabalho não é avizado com notificações ou e-mails,1,2026-02-26 20:10:44,Google Classroom,Negativo,56,9,2026-02
"os APP é bom porém é pago isso faz dele algo não muito bom para iniciantes, recomendo um curso com professores fluentes, experientes",2,2026-01-26 17:48:29,Babbel,Negativo,132,23,2026-01
"E mais?? Não achei tailandês, é oq eu queria aprender e o app não disponibiliza isso!",1,2025-02-11 00:14:52,Babbel,Negativo,85,16,2025-02
Versão gratuita é incompleta. Para ter acesso a resolução com passo a passo é necessário pagar pela versão premium,2,2024-02-11 11:56:10,Photomath,Negativo,114,19,2024-02
"Troquei de celular e meus cursos sumiram, não tem mais nada, você não consegue acessar o suporte pq ao clicar em fale conosco, vc é redirecionado para um site que dá dicas de como fazer isso, e acaba virando um círculo infinito, nenhum leva a falar com alguém, tinha vários cursos comprados e agora perdi todos, não consigo falar com ninguém e não consigo resolver o problema.",1,2026-03-09 13:32:50,Udemy,Negativo,376,67,2026-03
Não consigo nem entrar,1,2024-08-19 15:59:16,Google Classroom,Negativo,22,4,2024-08
"o aplicativo demora muito para abrir, fica como se fosse abrindo o logotipo e não vai, só depois de um bom tempo com o app aberto, os outros aplicativos abrem rapidamente.",2,2026-02-13 22:57:29,Hotmart Sparkle,Negativo,171,31,2026-02
"Muito bom pra aprender idiomas. Tem poucas opções para aprender idiomas a partir do português. as dicas não são confiáveis. Todos os idiomas precisam de revisão. Com as energias durando menos que as vidas existe uma coação maior para que você mude para o plano pago. o interessante é querer que você pague por uma aplicação que ganhou muitos bugs. Missões (Francês e xadrez) mistas me desmotiva a estudar, Quando estou fazendo idiomas não quero missões de xadrez, música ou matemática. Dicas erradas.",1,2026-04-05 22:37:08,Duolingo,Negativo,500,83,2026-04
"Comprei um curso DUAS VEZES, e até agora nao chegou o conteudo",1,2026-03-13 15:15:09,Udemy,Negativo,62,12,2026-03
"Mto bom, tenque fazer tarefa (confia)",1,2024-06-27 11:25:32,Google Classroom,Negativo,37,6,2024-06
"Comprei um curso, estou tentando usar o aplicativo, coloco usuário e senha e fica carregando, assim é com o código também. pelo computador abre mais o aplicativo não abre. Tentei solução no suporte e não consegui. Não tem a opção de falar diretamente com uma pessoa no suporte.",2,2026-01-21 23:20:46,Hotmart Sparkle,Negativo,277,48,2026-01
Não consigo cadastrar meu email diz que email não existe kkkkkk,1,2020-03-01 17:01:33,Khan Academy,Negativo,63,11,2020-03
Ruim,1,2020-10-20 14:20:39,Khan Academy,Negativo,4,1,2020-10
Essas atividades de desvio-padrão só gastam o nosso tempo,1,2023-11-01 07:47:24,Khan Academy,Negativo,57,9,2023-11
"Parece ser um ótimo app, mas vc é forçado a pagar. Assisti uma única ""aula"" e foi só isso! A segunda precisa pagar... Enfim, imaginei que precisasse pagar para obter outras coisas. Enfim, não gostei por conta disso e agora serei forçada a pagar um app que poderia ser de graça as aulas.",2,2024-06-06 19:11:16,Babbel,Negativo,286,53,2024-06
Brasil Não consigo utilizar em meu dispositivo móvel (Celular) com conta Google. Suporte até momento não resolveu.,1,2023-07-17 13:09:00,Udemy,Negativo,114,17,2023-07
"R$164,99 por três meses é uma piada. Por esse preço eu pagaria para ter acesso vitalício, não por uma assinatura. E pelo que eu vi as lições do curso estão desatualizadas, baixei os apps antigos e são as mesas lições há anos.",1,2025-12-14 19:15:02,Babbel,Negativo,225,42,2025-12
Sempre q entro no app ele sai,1,2022-05-07 23:49:52,Khan Academy,Negativo,29,7,2022-05
"Ao ativar a autenticação multifator o código enviado pela própria Udemy não é válido. Se pedimos para renviá-lo, recebemos o mesmo código, o qual continua não sendo válido. Aguarde alguns minutos...",1,2023-02-14 09:22:00,Udemy,Negativo,198,31,2023-02
"Quando entro na tuma e depois na aula, só pisca a página e não consigo ver nem baixar nada que foi postado!! Já tentei limpar cachê, desint e inst, abri em outros dispositivos e ainda não consigo entrar na aula",1,2023-06-11 19:58:32,Google Classroom,Negativo,210,40,2023-06
"Era tão bom, se não precisasse pagar...Antes tinha a ferramenta, sem pagar. Eu entendo que o app precisa se custear, pra se manter no mercado. Mas muitos jovens precisam dele pra estudar :(",2,2024-05-27 15:56:41,Photomath,Negativo,189,33,2024-05
sempre diz internet lenta mesmo enquanto tenho megas ou wi-fi 😡,1,2025-04-22 18:41:33,Photomath,Negativo,63,11,2025-04
péssimo pq é um app de tarefa,1,2025-03-12 13:15:34,Google Classroom,Negativo,29,7,2025-03
Aplicativo péssimo,1,2023-06-05 10:43:31,Udemy,Negativo,18,2,2023-06
Super ruim.,1,2023-02-27 10:17:40,Google Classroom,Negativo,11,2,2023-02
Não gosto de estudar👍,1,2024-11-27 17:32:17,Google Classroom,Negativo,21,4,2024-11
tem vários bugs e erros de português,2,2026-02-24 23:50:40,Quizlet,Negativo,36,7,2026-02
Chato dms tira minhas aulas vagas pra que eu vou usar na vida,1,2024-03-22 13:34:07,Google Classroom,Negativo,61,13,2024-03
bom,1,2026-03-12 18:57:11,Google Classroom,Negativo,3,1,2026-03
Alguns quiz a respostas estão erradas,1,2025-05-05 19:14:22,Quizlet,Negativo,37,6,2025-05
Isso aqui e pessimo mostra coisas erradas nao presta isso aqui!,1,2025-05-25 15:59:20,Photomath,Negativo,63,11,2025-05
"Mal instalei e já vou desinstalar. Nem estou conseguindo entrar. Vou poupar a minha paciência. App precisa melhorar muito pra ser utilizável. *Edit: Me responderam falando que era meu sistema operacional desatualizado (que estava devidamente atualizado, na verdade) e pedindo para reinstalar (o que eu fiz e continuou apresentando o mesmo problema)",1,2022-10-24 17:12:32,Udemy,Negativo,348,52,2022-10
Decepcionante!!!! O curso é caro. E não tem o próximo nível. Fiz tudo certinho pra chegar no final e ser só isso! Prefiro o Duolingo. Vou cancelar minha assinatura,1,2024-12-25 22:13:23,Babbel,Negativo,163,29,2024-12
"No início só conseguia assistir ao 1 video de um dos cursos que comprei, reclamei e agora nenhuma video carrega. Envei mensagens, emails, cumpri as listas de testes que pedem pra fazer e nada. O fato é existe um sério problema, provavelmente no servidor, mas ninguém resolve e fica por isso. Percebo que as promoções continuam aparecendo mas não compro mais cursos até que isso se resolva. Aconselho quem esteja precisando fazer cursos a procurar outra plataforma que resolva problemas de clientes",1,2023-09-26 18:34:11,Udemy,Negativo,497,82,2023-09
"cursos da Plataforma são excelentes, mas o aplicativo é péssimo, fica desligando meu celular.",1,2025-06-08 00:15:58,Udemy,Negativo,93,14,2025-06
O app não processa álgebra que envolve fatorial,2,2024-05-19 14:50:16,Photomath,Negativo,47,8,2024-05
Depois q começou a ter letra...,1,2024-09-17 09:31:29,Khan Academy,Negativo,31,6,2024-09
Eu estava fazendo uma conta de matematica da escola e agora pediu pra mim assinar o plus por isso eu dou 1 estrela só,1,2024-02-21 17:40:29,Photomath,Negativo,117,24,2024-02
"Minha nota esta sendo essa porque não estou consseguindo fazer as tarefas ,quando entro esta dando erro.só vou mudar meu voto quando resolverem",1,2018-11-28 20:07:15,Khan Academy,Negativo,143,23,2018-11
"Comprei um curso na data de ontem 15/2, curso ao qual foi cobrado debitado no meu cartão, mas não consta em meus aprendizado. Somente estou postando aqui, porque essa plataforma junto ao Google play ao invés de facilitar a comunicação pra resolver o problema, eles simplesmente deixa você a mercê da solução, não encontro um meio ao qual eu realmente possa falar com alguém ""SER HUMANO"" no caso pra resolver. Lamentável, sempre tive bom relacionamento com udemy, mas dessa vez deixou a desejar!",1,2024-02-16 19:18:32,Udemy,Negativo,494,83,2024-02
Sinceramente falta melhorar a utilização.,1,2023-03-15 21:09:36,Google Classroom,Negativo,41,5,2023-03
"Estou com um problema para entrar, pois não está permitindo que eu insira minha senha.",1,2023-03-21 09:11:53,Udemy,Negativo,86,15,2023-03
Não funciona,1,2023-04-18 20:22:07,Google Classroom,Negativo,12,2,2023-04
Wety flutwe cuty bilwuery,1,2023-03-27 10:44:33,Google Classroom,Negativo,25,4,2023-03
"não aguento mais tanta tarefa, 1★ pq acabou com a minha vida social esse app",1,2023-05-18 11:13:35,Google Classroom,Negativo,76,15,2023-05
"Após essas várias atualizações está insuportável jogar. Está travando direto e acaba que perdemos os pontos já no final da partida. Péssimo isso, e eu uso a versão paga. Essa situação permanece, quando haverá mudanças?",1,2026-04-04 16:47:53,Duolingo,Negativo,218,35,2026-04
"Está app é um roubo! Uma vergonha! Através do browser é possível ver cursos com o desconto e que custam 14,99€ mas quando se compra, e ao fazer log in, o curso passa logo para 84,99€. É uma vergonha! Cada vez mais se verifica a má fé da gestão desta app que cada vez mais tem menos conteúdos e os que tem são de fraca qualidade.",1,2023-02-26 16:19:38,Udemy,Negativo,328,66,2023-02
"Comprei um curso e não consigo mais pegar meu dinheiro de volta com reembolso, devia ter gastado com a Escola SAGA",1,2022-07-24 13:36:59,Udemy,Negativo,114,21,2022-07
"Eu quero aprender francês e só aparece lições em inglês. Já instalei e desinstalei várias vezes Coloco minha preferência por Francês, respondo todas as perguntas, mas na hora de iniciar só aparece inglês. Dá pra alguém me ajudar?",2,2024-08-10 16:37:22,Babbel,Negativo,229,38,2024-08
"lixo, tudo pago",1,2024-04-24 09:43:14,Photomath,Negativo,15,3,2024-04
"Esse jogo tem uma ideia inicial boa, porém possui diversas falhas e uma interface que deixa a desejar. Uso o aplicativo constantemente por conta de ""obrigações"", mas sinto que poderia melhorar e muito. Jogo isso há quase 2 anos e ainda não cheguei no boss final, é um jogo longo e cansativo, possui muitas missões secundárias, que quanto mais você as faz, mais elas aparecem. Não sei como funciona o sistema de XP, mas sinto que não estou evoluindo como deveria, ainda estou em um level baixo. Chato!",2,2023-04-19 00:54:46,Google Classroom,Negativo,500,88,2023-04
"triste, agora pra receber explicoes mais claras precisa pagar o Plus, péssimo.",2,2025-06-04 22:21:38,Photomath,Negativo,78,12,2025-06
não consigo entrar no gratuito,1,2025-09-15 14:41:06,Babbel,Negativo,30,5,2025-09
Muito bom o app,1,2023-02-20 14:17:36,Google Classroom,Negativo,15,4,2023-02
é muito ruim,1,2024-05-02 18:26:09,Photomath,Negativo,12,3,2024-05
Quero cancela a assinatura e não consigo.,1,2024-09-17 00:51:10,Babbel,Negativo,41,7,2024-09
O curso não aparece quando compraa,1,2024-01-02 01:23:06,Udemy,Negativo,34,6,2024-01
👎👎👎,1,2023-03-04 18:39:58,Google Classroom,Negativo,3,1,2023-03
O aplicativo é bom. O único problema é que tem muitos anúncios...,2,2026-04-01 16:43:57,Duolingo,Negativo,65,12,2026-04
não dá para para escolher as suas matérias,1,2024-11-25 17:42:25,Quizlet,Negativo,42,8,2024-11
Não consigo baixar,1,2021-03-02 13:54:45,Khan Academy,Negativo,18,3,2021-03
muito bom aplicativo recomendo só que eles colocaram o novo sistema de energias e eu vejo propaganda incentivando assinar o teste grátis do super só que são só 2 semanas com os dois testes grátis então o app literalmente te limita se fosse energia sem limite ou não tivesse energia de graça eu daria 5 estrelas de boa eu quero atualização de energia grátis para todo mundo,2,2026-04-03 21:02:55,Duolingo,Negativo,372,67,2026-04
Odeio escola,1,2022-09-20 05:16:47,Google Classroom,Negativo,12,2,2022-09
"Uma hora o aplicativo pega muito bem, e na outra hora já não chega notificação ou entra.",2,2024-03-14 12:51:24,Google Classroom,Negativo,88,17,2024-03
pago e valor exorbitante,1,2025-06-28 14:21:55,Photomath,Negativo,24,4,2025-06
"Era exatamente o que estava procurando. Mas infelizmente não tem todas as matérias. Eu preciso muito de história, geografia... e o português, estou no sétimo ano e tentando aprender algo no EAD. Por favor adicionem mais matérias o quanto antes!! O aplicativo me serve muito bem para ciências e matemática (as matérias que tem) mas eu preciso de outras ali, se não, não poderei continuar utilizando esse aplicativo. Se possível me enviar feedback",2,2020-11-04 08:00:43,Khan Academy,Negativo,445,73,2020-11
"Muito ruim, horrivel, todo mal feito 😎🤝",1,2023-03-09 14:56:01,Google Classroom,Negativo,39,7,2023-03
modo escuro,1,2025-05-06 14:10:15,Google Classroom,Negativo,11,2,2025-05
"logo!!!!! que eu conheci esse app eu amei ele, mas depois fiquei muito triste em sabe, que ele e pago agora",1,2024-05-03 13:07:32,Photomath,Negativo,107,21,2024-05
Tem exercício que não da resultados verdadeiro,1,2024-02-01 08:49:51,Photomath,Negativo,46,7,2024-02
"Essa ultimo update deu uma pane no meu celular quando estava assistindo a aula, que pensei que tinha quebrado meu celular, começou a tela piscar o video travar e aparecer aqueles ruido como se fosse tv antiga sem sinal depois travou tudo, sorte que eu segurei o botão desliga e forcei o desligamento se n tinha perdido meu moto g8 play",1,2022-10-11 04:10:16,Udemy,Negativo,335,61,2022-10
Sem nessecidade,1,2024-04-27 18:01:30,Google Classroom,Negativo,15,2,2024-04
Da erro na nova atualização. Não deixa atualizar,1,2023-05-03 16:45:17,Google Classroom,Negativo,48,8,2023-05
Muito ruim eu nem sei o que é isso mal 😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠,1,2026-04-03 12:24:41,Duolingo,Negativo,65,11,2026-04
Nunca usei,1,2022-11-10 21:44:55,Khan Academy,Negativo,10,2,2022-11
"Não estão interessados em ensinar espanhol, estão interessados em colocar um ideologia esquerdista, os temas das conversas são sindicalismo, aborto, soberania lgbt. Desinstalei e cancelei o plano. Uma escola de idiomas deve ensinar o idioma e não ter pautas ideológicas.",1,2024-01-10 09:47:59,Babbel,Negativo,270,40,2024-01
"Depois de anos usando eles decidem q vai começar a cobrar pela explicações edit: além de cobrarem pelas explicações, agr com frequencia o aplicativo simplesmente n da a resposta, aparece ""conecte a uma rede para obter as respostas"", mesmo eu estando no wifi de casa ou com os dados ligados.",1,2025-04-03 15:58:02,Photomath,Negativo,290,50,2025-04
"Muito ruim, A UNICA LICAO QUE DA PARA FAZER É A PRIMEIRA O RESTO É TUDO PAGO",1,2026-03-23 16:45:35,Babbel,Negativo,76,17,2026-03
"aplicativo não quer abrir, o que pode estar acontecendo...",1,2026-02-09 12:21:16,Hotmart Sparkle,Negativo,58,9,2026-02
"o app faz exatamente oq deve fazer, a uma estrela é pq não aguento mais professor passando atividade",1,2025-03-29 17:06:18,Google Classroom,Negativo,100,18,2025-03
"É horrível,não consegui aprender nada,é tudo muito confuso!",1,2024-11-23 12:21:01,Quizlet,Negativo,59,8,2024-11
o app não funciona bem!,1,2025-08-30 15:35:34,Quizlet,Negativo,23,5,2025-08
"Comprei e paguei o livro Receitas Air Fryer e não o recebi, também nenhuma informação sobre o envio??",1,2026-03-12 10:37:57,Hotmart Sparkle,Negativo,101,18,2026-03
"buff Cyrene, she's very mid.",1,2025-10-27 16:43:50,Google Classroom,Negativo,28,5,2025-10
"O APP é bom, só que eu odeio, eu odeio plataformas odeio odeio odeio odeio odeio HAHAHAHAHAHAHAHAHAHAHA",1,2023-07-26 17:41:56,Google Classroom,Negativo,103,17,2023-07
o meu tá em inglês,1,2025-06-09 00:29:15,Quizlet,Negativo,18,5,2025-06
que pena que tem pagar não libera os outros cursos,1,2024-04-06 03:03:26,Babbel,Negativo,50,10,2024-04
"era muito bom, mas desde que mudaram os corações pra energia, ficou horrivel pra mim, que sou mais de estudar MUITO quando da vontade do que de estudar um pouco todo dia, aprendo bem melhor quando da vontade do que ""pra nao perder o foguinho"". e isso é horrivel porque acaba muito rápido e nem da pra recuperar estudando como antes. to parando de usar o app por esse motivo",2,2026-04-06 18:41:31,Duolingo,Negativo,373,70,2026-04
"O Duolingo e perfeito aprendi bastante com ele, mas o problema agora é que tem a energia que acaba mesmo eu acertando a lição, isso acaba estragando o app! Peço que melhore pois vai acabar com o app ! tirando esse problema grande recomendo!",1,2026-04-03 23:35:49,Duolingo,Negativo,240,44,2026-04
O aplicativo não está funcionando corretamente.,1,2024-01-11 00:05:52,Khan Academy,Negativo,47,6,2024-01
"Horiivel, aplicação muito má, não recomendo portanto yah manitos já sabem.",1,2022-10-17 04:00:11,Google Classroom,Negativo,74,11,2022-10
"Estava amando o app, fiz o upgrade do plano de 1 ano, descontou o dinheiro e no app fala que o upgrade falhou, mas meu dinheiro fui sugado",1,2025-01-07 20:51:15,Quizlet,Negativo,138,28,2025-01
"Eu abaixei esse app para eu poder receber as atividades do meu professor mais quando eu adicionei a minha conta da escola não quis entrar e eu tentei várias vezes e não foi, adicionei outra e nada",2,2023-02-04 14:50:05,Google Classroom,Negativo,196,37,2023-02
cara acha que tudo é dinheiro kk🙄,1,2025-10-22 11:58:58,Quizlet,Negativo,33,7,2025-10
"não tem a opção de colar, muito ruim.",1,2025-03-18 16:49:21,Google Classroom,Negativo,37,8,2025-03
App não abre com boa qualidade os pdf,1,2024-02-29 09:41:06,Google Classroom,Negativo,37,8,2024-02
"Dando uma estrela pra poder opinar! App já deu pau no login... não consegui sequer colocar minha senha, diz que está errado. Se que está certa. Desistalando!!!!!!",1,2019-06-14 11:00:46,Khan Academy,Negativo,162,27,2019-06
"Quando a pessoa envia a foto na tarefa, em seguida ela fica branca e não dá pra acessar mais. Além disso, é um app normal.",2,2022-10-24 13:37:35,Google Classroom,Negativo,122,25,2022-10
não consigo acessar meu usuário pois fala que está enviando um código para meu email que nunca chega. obs.: já vasculhei a caixa de email inteira e não vem o código.,1,2025-05-02 00:31:50,Udemy,Negativo,165,31,2025-05
eu tirei a foto não me ajudou em nada o app não entendeu nada mas eu recomendo para os outros,2,2025-08-05 19:53:27,Photomath,Negativo,93,20,2025-08
Nao da pra sair da turma ou arquivar. De um semestre para outro as turmas astigas ficam la atrapalhando e NAO DA PRA SAIR. Se mudarem isso eu mudo minha avaliaçao. Queria colocar 0 estrelas mas nao da tambem.,1,2024-02-19 08:42:25,Google Classroom,Negativo,208,39,2024-02
App ruim toda vez que eu tentava entrar na minha conta da escola simplesmente não entrava e voltava para a tela primeiras etapas.,2,2023-11-20 16:05:51,Google Classroom,Negativo,129,23,2023-11
"pago o mês inteiro, e quando precisa nunca funciona, sempre ""problema na rede""",1,2025-04-16 23:14:42,Photomath,Negativo,78,13,2025-04
"um aplicativo obrigatório em muitas ocasiões, uso desde o colégio e até agora no final da faculdade. demora muito pra abrir, as vezes nem abre, e a experiência é terrível.",2,2025-10-07 06:26:22,Google Classroom,Negativo,171,30,2025-10
NAO SEI SE É SO O MEU APP MAS NAO CONSIGO ENVIAR MEUS TRABALHOS PARA O PROFESSOR,2,2022-11-29 13:51:52,Google Classroom,Negativo,80,17,2022-11
Estudar é chatao,1,2024-02-28 19:34:05,Google Classroom,Negativo,16,3,2024-02
Nao consigo atualizar,1,2024-10-30 11:50:11,Google Classroom,Negativo,21,3,2024-10
Problemas na execução com Chromecast.,2,2023-05-16 21:09:45,Udemy,Negativo,37,5,2023-05
"estou com muita dificuldade de acessar, pois pede código e não vem no e-mail opl",1,2025-02-12 12:29:07,Udemy,Negativo,80,15,2025-02
"Fiz o download e ao abrir o aplicativo, surge uma tela com a mensagem: ""Nós respeitamos sua privacidade"". Daí não consigo fazer mais nada, fica apenas nessa tela, sem nenhuma opção de seguir em frente. Péssimo!",1,2023-03-28 01:46:27,Babbel,Negativo,210,36,2023-03
"no navegador tenho acesso como professor, mas neste app o acesso mostra como aluno, então fica difícil o professor administrar o conteúdo no app.",2,2019-04-02 22:28:37,Khan Academy,Negativo,145,24,2019-04
agenda woke aqui não,1,2026-04-05 18:43:37,Duolingo,Negativo,20,4,2026-04
"Toda hora fica tentando conectar com a internet, e downloads de cursos são expirados depois de um mês, forçando o download do mesmo vídeo novamente.As vezes o download de aulas trava e só volta após forçar a parada e limpeza de cache do app",1,2023-06-15 06:36:00,Udemy,Negativo,240,44,2023-06
Odeio escola,1,2024-02-16 19:58:21,Google Classroom,Negativo,12,2,2024-02
"aplicativo bugado, e mal feito",1,2025-08-20 21:21:07,Google Classroom,Negativo,30,5,2025-08
"Se não pode celular na aula, não pode aula no celular",1,2022-10-21 20:25:09,Google Classroom,Negativo,53,11,2022-10
Nunca vejo as lições e senpre me ferro os professores não falam guando tem lisão mais,1,2024-06-25 21:19:24,Google Classroom,Negativo,85,16,2024-06
"muito lento,demora abrir, e os cursos visto nele trava vidios trava muito .",2,2022-09-01 20:48:05,Udemy,Negativo,75,13,2022-09
Ratão,1,2023-07-04 10:21:07,Google Classroom,Negativo,5,1,2023-07
Vai te desconectar de outras sessões usando ativamente ou não o aplicativo. ✌🏽 como uso em 3 dispositivos eu tenho que relogar múltiplas vezes por dia.,1,2025-10-24 09:48:51,Udemy,Negativo,151,26,2025-10
É elementar pra matemática.,2,2024-11-16 11:04:43,Quizlet,Negativo,27,4,2024-11
não consigo por os ficheiros logo no limite de 20 tenho de por de 10 em 10,1,2025-06-26 07:29:20,Google Classroom,Negativo,74,17,2025-06
"O app está com um grande problema na hr em q o vídeo está passando, enquanto estou assistindo o vídeo simplesmente trava e não carrega mais",1,2025-11-20 15:35:37,Udemy,Negativo,139,26,2025-11
ruim.,1,2025-11-30 11:21:15,Udemy,Negativo,5,1,2025-11
Essa versão prêmio me chatio muito mano ses querem ganhar dinheiro tanto assim ses tam Privado as pessoas que tem dificuldade de aprender mas eu achei i que ses tinham criado esse aplicativo para ajuda as pessoas mas mim ganei poriso um estrela,1,2024-03-20 07:09:40,Photomath,Negativo,244,43,2024-03
"Tinha recebido a versão Beta e estava fazendo xadrez e matemática junto com três idiomas, aí meu celular foi roubado e demorei três meses para comprar outro, quando voltei pro curso tiraram a versão Beta do meu perfil e perdi o curso de xadrez e matemática, e meu curso de inglês voltou para trás pro 17, sendo que estava no nível 32. Arrumem meus cursos como estavam.",1,2026-04-01 19:45:33,Duolingo,Negativo,368,67,2026-04
