texto,nota,data,app,sentimento,texto_preprocessado,texto_stemmed,texto_lemmatized
o jogo da cobrinha tem uma taxa de bugs menor que esse aplicativo.,1,2025-07-16 19:21:17,Google Classroom,Negativo,o jogo da cobrinha tem uma taxa de bugs menor que esse aplicativo,jog cobr tax bug men aplic,jogo cobrinha taxa bugs aplicativo
"Era um ótimo app, mas agora é pago e para o que oferece o valor é extremamente elevado não vale o custo benefício. Desinstalado.",1,2024-05-13 17:31:51,Photomath,Negativo,era um ótimo app mas agora é pago e para o que oferece o valor é extremamente elevado não vale o custo benefício desinstalado,ótim app agor pag oferec val extrem elev val cust benefíci desinstal,bom app pagar oferecer extremamente elevar valer custo benefício desinstalar
"Embora o Khan Academy tenha se estabelecido como uma plataforma educacional, há vários aspectos negativos. Em primeiro lugar, a abordagem de ensino da plataforma pode ser muito genérica e não atender às necessidades específicas de todos os alunos. O material é apresentado de forma padronizada, o que pode não levar em consideração diferentes estilos de aprendizado e níveis de compreensão.",1,2024-09-04 16:55:05,Khan Academy,Negativo,embora o khan academy tenha se estabelecido como uma plataforma educacional há vários aspectos negativos em primeiro lugar a abordagem de ensino da plataforma pode ser muito genérica e não atender às necessidades específicas de todos os alunos o material é apresentado de forma padronizada o que pode não levar em consideração diferentes estilos de aprendizado e níveis de compreensão,emb khan academy estabelec plataform educac vári aspect nega prim lug abord ensin plataform pod genér atend necess específ tod alun mater apresent form padron pod lev consider difer estil aprend nível compreens,khan academy ter estabelecer plataforma educacional aspecto negativo abordagem ensino plataforma genérico atender necessidade específico aluno material apresentar padronizar levar consideração diferentes estilo aprendizado nível compreensão
"Procurei por app de inglês gratuito, apareceu este como opção. Mas não consigo avançar sem colocar o número do meu cartão de crédito. Propaganda enganosa",1,2024-04-22 13:34:15,Babbel,Negativo,procurei por app de inglês gratuito apareceu este como opção mas não consigo avançar sem colocar o número do meu cartão de crédito propaganda enganosa,procur app ingl gratuit aparec opç consig avanç coloc númer cart crédit propagand engan,procur app inglês gratuito aparecer opção consigo avançar colocar cartão crédito propaganda enganoso
Vcs colocam um preço na página inicial e quando entro no curso pra comprar tá muito mais caro. Tenho os prints pra provar. Isso é propaganda enganosa. É crime. É enganação. É golpe. Vcs são obrigados por lei a arcar com o preço anunciado. E pra piorar não existe nenhum meio de entrar em contato a empresa pra prestar uma queixa.,1,2023-09-15 00:23:39,Udemy,Negativo,vcs colocam um preço na página inicial e quando entro no curso pra comprar tá muito mais caro tenho os prints pra provar isso é propaganda enganosa é crime é enganação é golpe vcs são obrigados por lei a arcar com o preço anunciado e pra piorar não existe nenhum meio de entrar em contato a empresa pra prestar uma queixa,vc coloc preç págin inic entr curs pra compr car print pra prov propagand engan crim engan golp vc obrig lei arc preç anunci pra pior exist nenhum mei entr contat empr pra prest queix,vcs colocar preço página inicial entro curso pra comprar caro prints pra provar propaganda enganoso crime enganação golpe vcs obrigar lei arcar preço anunciar pra piorar existir nenhum entrar contato empresa pra prestar queixa
É pago.,1,2025-04-12 10:04:55,Quizlet,Negativo,é pago,pag,pagar
péssimo não consigo acessar os cartões!,2,2025-08-20 06:30:55,Quizlet,Negativo,péssimo não consigo acessar os cartões,péss consig acess cart,péssimo consigir acessar cartão
Essa P. Fica pedindo login sempre. É uma B*&_$#,2,2023-04-15 05:07:00,Udemy,Negativo,essa p fica pedindo login sempre é uma b,fic ped login sempr,ficar pedir login
A lapes não rerulve,1,2024-04-10 18:43:40,Photomath,Negativo,a lapes não rerulve,lap rerulv,lapes rerulver
Este Plicativo tem muitos erro,2,2024-05-12 09:06:19,Photomath,Negativo,este plicativo tem muitos erro,plic muit err,plicativo erro
modo escuro.,1,2020-04-06 09:27:26,Khan Academy,Negativo,modo escuro,mod escur,modo escuro
muito trabalho não é avizado com notificações ou e-mails,1,2026-02-26 20:10:44,Google Classroom,Negativo,muito trabalho não é avizado com notificações ou emails,trabalh aviz notific email,trabalho avizar notificação email
"os APP é bom porém é pago isso faz dele algo não muito bom para iniciantes, recomendo um curso com professores fluentes, experientes",2,2026-01-26 17:48:29,Babbel,Negativo,os app é bom porém é pago isso faz dele algo não muito bom para iniciantes recomendo um curso com professores fluentes experientes,app bom porém pag faz alg bom inici recom curs profes fluent experi,app pagar de ele iniciante recomer curso professor fluente experiente
"E mais?? Não achei tailandês, é oq eu queria aprender e o app não disponibiliza isso!",1,2025-02-11 00:14:52,Babbel,Negativo,e mais não achei tailandês é oq eu queria aprender e o app não disponibiliza isso,ach tailand quer aprend app disponibiliz,achar tailandês querer aprender app disponibilizar
Versão gratuita é incompleta. Para ter acesso a resolução com passo a passo é necessário pagar pela versão premium,2,2024-02-11 11:56:10,Photomath,Negativo,versão gratuita é incompleta para ter acesso a resolução com passo a passo é necessário pagar pela versão premium,vers gratuit incomplet ter acess resoluç pass pass necess pag vers premium,versão gratuito incompleto acesso resolução passo passo necessário pagar versão premium
"Troquei de celular e meus cursos sumiram, não tem mais nada, você não consegue acessar o suporte pq ao clicar em fale conosco, vc é redirecionado para um site que dá dicas de como fazer isso, e acaba virando um círculo infinito, nenhum leva a falar com alguém, tinha vários cursos comprados e agora perdi todos, não consigo falar com ninguém e não consigo resolver o problema.",1,2026-03-09 13:32:50,Udemy,Negativo,troquei de celular e meus cursos sumiram não tem mais nada você não consegue acessar o suporte pq ao clicar em fale conosco vc é redirecionado para um site que dá dicas de como fazer isso e acaba virando um círculo infinito nenhum leva a falar com alguém tinha vários cursos comprados e agora perdi todos não consigo falar com ninguém e não consigo resolver o problema,troq celul curs sum nad conseg acess suport clic fal conosc redirecion sit dic faz acab vir círcul infinit nenhum lev fal alguém vári curs compr agor perd tod consig fal ninguém consig resolv problem,troquei celular curso sumir conseguir acessar suporte clicar fale Conosco redirecionar site dica acabar virar círculo infinito nenhum levar falar alguém ter curso comprar perdi consigir falar ninguém consigir resolver problema
Não consigo nem entrar,1,2024-08-19 15:59:16,Google Classroom,Negativo,não consigo nem entrar,consig entr,consigir entrar
"o aplicativo demora muito para abrir, fica como se fosse abrindo o logotipo e não vai, só depois de um bom tempo com o app aberto, os outros aplicativos abrem rapidamente.",2,2026-02-13 22:57:29,Hotmart Sparkle,Negativo,o aplicativo demora muito para abrir fica como se fosse abrindo o logotipo e não vai só depois de um bom tempo com o app aberto os outros aplicativos abrem rapidamente,aplic dem abr fic abr logotip vai bom temp app abert outr aplic abr rapid,aplicativo demor abrir ficar ser abrir logotipo app abrir aplicativo abrir rapidamente
"Muito bom pra aprender idiomas. Tem poucas opções para aprender idiomas a partir do português. as dicas não são confiáveis. Todos os idiomas precisam de revisão. Com as energias durando menos que as vidas existe uma coação maior para que você mude para o plano pago. o interessante é querer que você pague por uma aplicação que ganhou muitos bugs. Missões (Francês e xadrez) mistas me desmotiva a estudar, Quando estou fazendo idiomas não quero missões de xadrez, música ou matemática. Dicas erradas.",1,2026-04-05 22:37:08,Duolingo,Negativo,muito bom pra aprender idiomas tem poucas opções para aprender idiomas a partir do português as dicas não são confiáveis todos os idiomas precisam de revisão com as energias durando menos que as vidas existe uma coação maior para que você mude para o plano pago o interessante é querer que você pague por uma aplicação que ganhou muitos bugs missões francês e xadrez mistas me desmotiva a estudar quando estou fazendo idiomas não quero missões de xadrez música ou matemática dicas erradas,bom pra aprend idiom pouc opç aprend idiom part portugu dic confi tod idiom precis revis energ dur menos vid exist coaç mai mud plan pag interess quer pag aplic ganh muit bug miss franc xadr mist desmo estud faz idiom quer miss xadr músic matemá dic err,pra aprender idioma pouco opção aprender idioma português dica confiável idioma precisar revisão energia durar vida existir coação muder plano pagar interessante querer paguir aplicação ganhar bugsr missão francês xadrez misto desmotiva estudar fazer idioma missão xadrez música matemático dica errar
"Comprei um curso DUAS VEZES, e até agora nao chegou o conteudo",1,2026-03-13 15:15:09,Udemy,Negativo,comprei um curso duas vezes e até agora nao chegou o conteudo,compr curs dua vez agor nao cheg conteud,comprar curso nao chegar conteudo
"Mto bom, tenque fazer tarefa (confia)",1,2024-06-27 11:25:32,Google Classroom,Negativo,mto bom tenque fazer tarefa confia,mto bom tenqu faz taref conf,mto tenque tarefa confio
"Comprei um curso, estou tentando usar o aplicativo, coloco usuário e senha e fica carregando, assim é com o código também. pelo computador abre mais o aplicativo não abre. Tentei solução no suporte e não consegui. Não tem a opção de falar diretamente com uma pessoa no suporte.",2,2026-01-21 23:20:46,Hotmart Sparkle,Negativo,comprei um curso estou tentando usar o aplicativo coloco usuário e senha e fica carregando assim é com o código também pelo computador abre mais o aplicativo não abre tentei solução no suporte e não consegui não tem a opção de falar diretamente com uma pessoa no suporte,compr curs tent us aplic coloc usu senh fic carreg assim códig comput abr aplic abr tent soluç suport consegu opç fal diret pesso suport,comprar curso tentar aplicativo coloco usuário senha ficar carregar código computador abrir aplicativo abrir solução suporte conseguir opção falar diretamente pessoa suporte
Não consigo cadastrar meu email diz que email não existe kkkkkk,1,2020-03-01 17:01:33,Khan Academy,Negativo,não consigo cadastrar meu email diz que email não existe kkkkkk,consig cadastr email diz email exist kkkkkk,consigir cadastrar email email existir kkkkkk
Ruim,1,2020-10-20 14:20:39,Khan Academy,Negativo,ruim,ruim,ruim
Essas atividades de desvio-padrão só gastam o nosso tempo,1,2023-11-01 07:47:24,Khan Academy,Negativo,essas atividades de desviopadrão só gastam o nosso tempo,ativ desviopadr gast temp,atividade desviopadr gastar
"Parece ser um ótimo app, mas vc é forçado a pagar. Assisti uma única ""aula"" e foi só isso! A segunda precisa pagar... Enfim, imaginei que precisasse pagar para obter outras coisas. Enfim, não gostei por conta disso e agora serei forçada a pagar um app que poderia ser de graça as aulas.",2,2024-06-06 19:11:16,Babbel,Negativo,parece ser um ótimo app mas vc é forçado a pagar assisti uma única aula e foi só isso a segunda precisa pagar enfim imaginei que precisasse pagar para obter outras coisas enfim não gostei por conta disso e agora serei forçada a pagar um app que poderia ser de graça as aulas,parec ótim app forç pag assist únic aul segund precis pag enfim imagin precis pag obt outr cois enfim gost cont diss agor forç pag app pod graç aul,bom app forçar pagar assisti único aula precisar pagar enfim imaginar precisar pagar obter coisa enfim gostar conta ser forçar pagar app poder graça aula
Brasil Não consigo utilizar em meu dispositivo móvel (Celular) com conta Google. Suporte até momento não resolveu.,1,2023-07-17 13:09:00,Udemy,Negativo,brasil não consigo utilizar em meu dispositivo móvel celular com conta google suporte até momento não resolveu,brasil consig utiliz disposi móvel celul cont googl suport moment resolv,Brasil consigir utilizar dispositivo móvel celular conta google suporte resolver
"R$164,99 por três meses é uma piada. Por esse preço eu pagaria para ter acesso vitalício, não por uma assinatura. E pelo que eu vi as lições do curso estão desatualizadas, baixei os apps antigos e são as mesas lições há anos.",1,2025-12-14 19:15:02,Babbel,Negativo,r por três meses é uma piada por esse preço eu pagaria para ter acesso vitalício não por uma assinatura e pelo que eu vi as lições do curso estão desatualizadas baixei os apps antigos e são as mesas lições há anos,trê mes pi preç pag ter acess vitalíci assinat liç curs desatu baix app antig mes liç ano,piada preço pagar acesso vitalício assinatura lição curso desatualizar baixei apps antigo meso lição ano
Sempre q entro no app ele sai,1,2022-05-07 23:49:52,Khan Academy,Negativo,sempre q entro no app ele sai,sempr entr app sai,entro app sair
"Ao ativar a autenticação multifator o código enviado pela própria Udemy não é válido. Se pedimos para renviá-lo, recebemos o mesmo código, o qual continua não sendo válido. Aguarde alguns minutos...",1,2023-02-14 09:22:00,Udemy,Negativo,ao ativar a autenticação multifator o código enviado pela própria udemy não é válido se pedimos para renviálo recebemos o mesmo código o qual continua não sendo válido aguarde alguns minutos,ativ autentic multifa códig envi própr udemy vál ped renviál receb códig continu send vál agu algum minut,ativar autenticação multifator código enviar próprio udemy válido pedir renviálo recebe código continuar ser válido aguarder minuto
"Quando entro na tuma e depois na aula, só pisca a página e não consigo ver nem baixar nada que foi postado!! Já tentei limpar cachê, desint e inst, abri em outros dispositivos e ainda não consigo entrar na aula",1,2023-06-11 19:58:32,Google Classroom,Negativo,quando entro na tuma e depois na aula só pisca a página e não consigo ver nem baixar nada que foi postado já tentei limpar cachê desint e inst abri em outros dispositivos e ainda não consigo entrar na aula,entr tum aul pisc págin consig ver baix nad post tent limp cach desint inst abr outr disposi aind consig entr aul,entro tum aula piscar página consigir baixar postar limpar cachê desint inst abri dispositivo consigir entrar aula
"Era tão bom, se não precisasse pagar...Antes tinha a ferramenta, sem pagar. Eu entendo que o app precisa se custear, pra se manter no mercado. Mas muitos jovens precisam dele pra estudar :(",2,2024-05-27 15:56:41,Photomath,Negativo,era tão bom se não precisasse pagarantes tinha a ferramenta sem pagar eu entendo que o app precisa se custear pra se manter no mercado mas muitos jovens precisam dele pra estudar,tão bom precis pagar ferrament pag ent app precis cust pra mant merc muit jov precis pra estud,precisasse pagarante ter ferramenta pagar enter app precisar custear pra manter mercado jovem precisar de ele pra estudar
sempre diz internet lenta mesmo enquanto tenho megas ou wi-fi 😡,1,2025-04-22 18:41:33,Photomath,Negativo,sempre diz internet lenta mesmo enquanto tenho megas ou wifi 😡,sempr diz internet lent enquant meg wif,Internet lento mego wifi
péssimo pq é um app de tarefa,1,2025-03-12 13:15:34,Google Classroom,Negativo,péssimo pq é um app de tarefa,péss app taref,péssimo app tarefa
Aplicativo péssimo,1,2023-06-05 10:43:31,Udemy,Negativo,aplicativo péssimo,aplic péss,aplicativo péssimo
Super ruim.,1,2023-02-27 10:17:40,Google Classroom,Negativo,super ruim,sup ruim,super ruim
Não gosto de estudar👍,1,2024-11-27 17:32:17,Google Classroom,Negativo,não gosto de estudar👍,gost estudar👍,gostar estudar
tem vários bugs e erros de português,2,2026-02-24 23:50:40,Quizlet,Negativo,tem vários bugs e erros de português,vári bug err portugu,bugs erro português
Chato dms tira minhas aulas vagas pra que eu vou usar na vida,1,2024-03-22 13:34:07,Google Classroom,Negativo,chato dms tira minhas aulas vagas pra que eu vou usar na vida,chat dm tir aul vag pra vou us vid,chato dms tirar aula vaga pra ir vida
bom,1,2026-03-12 18:57:11,Google Classroom,Negativo,bom,bom,
Alguns quiz a respostas estão erradas,1,2025-05-05 19:14:22,Quizlet,Negativo,alguns quiz a respostas estão erradas,algum quiz respost err,quiz resposta errado
Isso aqui e pessimo mostra coisas erradas nao presta isso aqui!,1,2025-05-25 15:59:20,Photomath,Negativo,isso aqui e pessimo mostra coisas erradas nao presta isso aqui,aqu pess mostr cois err nao prest aqu,pessimo mostrar coisa errar nao presta
"Mal instalei e já vou desinstalar. Nem estou conseguindo entrar. Vou poupar a minha paciência. App precisa melhorar muito pra ser utilizável. *Edit: Me responderam falando que era meu sistema operacional desatualizado (que estava devidamente atualizado, na verdade) e pedindo para reinstalar (o que eu fiz e continuou apresentando o mesmo problema)",1,2022-10-24 17:12:32,Udemy,Negativo,mal instalei e já vou desinstalar nem estou conseguindo entrar vou poupar a minha paciência app precisa melhorar muito pra ser utilizável edit me responderam falando que era meu sistema operacional desatualizado que estava devidamente atualizado na verdade e pedindo para reinstalar o que eu fiz e continuou apresentando o mesmo problema,mal instal vou desinstal consegu entr vou poup paci app precis melhor pra utiliz edit respond fal sistem operac desatu devid atual verdad ped reinstal fiz continu apresent problem,instalei ir desinstalar conseguir entrar ir poupar paciência app precisar melhorar pra utilizável edit responder falar operacional desatualizar devidamente atualizar verdade pedir reinstalar fiz continuar apresentar problema
Decepcionante!!!! O curso é caro. E não tem o próximo nível. Fiz tudo certinho pra chegar no final e ser só isso! Prefiro o Duolingo. Vou cancelar minha assinatura,1,2024-12-25 22:13:23,Babbel,Negativo,decepcionante o curso é caro e não tem o próximo nível fiz tudo certinho pra chegar no final e ser só isso prefiro o duolingo vou cancelar minha assinatura,decepcion curs car próx nível fiz tud cert pra cheg final prefir duoling vou cancel assinat,decepcionante curso caro fiz certinho pra chegar prefiro duolingo ir cancelar assinatura
"No início só conseguia assistir ao 1 video de um dos cursos que comprei, reclamei e agora nenhuma video carrega. Envei mensagens, emails, cumpri as listas de testes que pedem pra fazer e nada. O fato é existe um sério problema, provavelmente no servidor, mas ninguém resolve e fica por isso. Percebo que as promoções continuam aparecendo mas não compro mais cursos até que isso se resolva. Aconselho quem esteja precisando fazer cursos a procurar outra plataforma que resolva problemas de clientes",1,2023-09-26 18:34:11,Udemy,Negativo,no início só conseguia assistir ao video de um dos cursos que comprei reclamei e agora nenhuma video carrega envei mensagens emails cumpri as listas de testes que pedem pra fazer e nada o fato é existe um sério problema provavelmente no servidor mas ninguém resolve e fica por isso percebo que as promoções continuam aparecendo mas não compro mais cursos até que isso se resolva aconselho quem esteja precisando fazer cursos a procurar outra plataforma que resolva problemas de clientes,iníci consegu assist vide curs compr reclam agor nenhum vide carreg env mens email cumpr list test ped pra faz nad fat exist séri problem prova serv ninguém resolv fic perceb promoç continu aparec compr curs resolv aconselh precis faz curs procur outr plataform resolv problem client,início conseguir assistir video curso compr reclamei video carregar envei mensagem email cumpri lista teste pedir pra fato existir sério problema provavelmente servidor ninguém resolver ficar percebo promoção continuar aparecer compro curso resolvar aconselho estar precisar curso procurar plataforma resolvar problema cliente
"cursos da Plataforma são excelentes, mas o aplicativo é péssimo, fica desligando meu celular.",1,2025-06-08 00:15:58,Udemy,Negativo,cursos da plataforma são excelentes mas o aplicativo é péssimo fica desligando meu celular,curs plataform excel aplic péss fic deslig celul,curso plataforma excelente aplicativo péssimo ficar desligar celular
O app não processa álgebra que envolve fatorial,2,2024-05-19 14:50:16,Photomath,Negativo,o app não processa álgebra que envolve fatorial,app process álgebr envolv fator,app processar álgebra envolver fatorial
Depois q começou a ter letra...,1,2024-09-17 09:31:29,Khan Academy,Negativo,depois q começou a ter letra,começ ter letr,começar letra
Eu estava fazendo uma conta de matematica da escola e agora pediu pra mim assinar o plus por isso eu dou 1 estrela só,1,2024-02-21 17:40:29,Photomath,Negativo,eu estava fazendo uma conta de matematica da escola e agora pediu pra mim assinar o plus por isso eu dou estrela só,faz cont matema escol agor ped pra mim assin plu dou estrel,fazer conta matematica escola pedir pra eu assinar plus dar estrela
"Minha nota esta sendo essa porque não estou consseguindo fazer as tarefas ,quando entro esta dando erro.só vou mudar meu voto quando resolverem",1,2018-11-28 20:07:15,Khan Academy,Negativo,minha nota esta sendo essa porque não estou consseguindo fazer as tarefas quando entro esta dando errosó vou mudar meu voto quando resolverem,not send porqu conssegu faz taref entr dand errosó vou mud vot resolv,nota ser consseguir tarefa entro dar errosó ir mudar voto resolver
